,jobUrl,job title,company_name,position,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Description,Job Requirement,Company Profile,Publish Date,Closing Date,Contact Info
0,https://www.camhr.com/a/job/10052645,酒店部经理助理,mocbai casino,酒店部经理助理,Entry Level,1,2,Negotiable ,Male/Female,22 ~ 35,"
          Full Time
        ","
          Hotel/Hospitality
        ","
          Hotel/Hospitality
        ","
          High School
        ","
          Chinese-Mandarin-- Good
        ","
          Svay Rieng
        ","1.协助酒店部经理处理日常事务；
2.中柬文翻译；
3.文件的翻译；
4.工作汇报
","1.男女不限，年龄22-35岁；
2.熟练操作电脑办公软件；
3.柬籍华人，中文听、说、读、写流利；
4.有1年以上酒店管理工作经验
",,Publish Date：Jan-22-2015,Closing Date：Feb-20-2015,"Contact Information 于小姐  044 715 888 / 044 715 221 Svay Rieng 柴桢省巴域市. National Road No.1 , Bavet, Chan Trea District, Svay Rieng Province, Kingdom of Cambodia.  044 715 888 / 044 715 221"
1,https://www.camhr.com/a/job/10052644,人事文员 ,mocbai casino,人事文员 ,Fresh Graduate,1,~,$200-$500,Male/Female,20 ~ 35,"
          Full Time
        ","
          Human Resource
        ","
          Hotel/Hospitality
        ","
          High School
        ","
          Chinese-Mandarin-- Good
        ","
          Svay Rieng
        ","1.新员工招聘
2.员工考勤
3.工资表的制作
4.医疗保险的制作
5.中柬文翻译
","1.男女不限，年龄20-35岁；
2.精通world/excel办公软件；
3.柬籍华人，中文听、说、读、写流利
4.有1年以上人事文员相关工作经验
",,Publish Date：Jan-22-2015,Closing Date：Feb-20-2015,"Contact Information 于小姐  044 715 888 / 044 715 221 Svay Rieng 柴桢省巴域市. National Road No.1 , Bavet, Chan Trea District, Svay Rieng Province, Kingdom of Cambodia.  044 715 888 / 044 715 221"
2,https://www.camhr.com/a/job/10052643,Accountant,"Bonna Plaza Co., Ltd",Accountant,Middle,3,~,$200-$500,Male/Female,22 ~ 35,"
          Full Time
        ","
          Accounting
        ","
          General Business Services
        ","
          Bachelor Degree
        ","
          English-- Good
        ","
          Phnom Penh
        ",,,"Bonna Plaza is committing to be the leading shopping center investor, developer, and manager through value creation and continuous innovative development.
To create sustainable growth and capital value through acquisition, development, asset enhancement, and proactive management of our retail properties by improving our integrated shopping center management platform.
For Investors: Provide sustainable return and enhanced asset value
For Tenants	: Create profitable opportunities
For Shoppers 	: Provide delightful shopping experiences
For Employees	: Provide opportunities for personal and career growth
For Community 	: To corporate social responsibilities and environmental alert.
1. Develop the commercial field and enlarge the company to be wider on the existing commerce
    and implement of the new idea for more achievement.
2. Encourage high potential investments and business partners to upgrade the local recognition.
3. Educate and improve the human resource on the commercial field for creating the new mind
    and development.
4. Create the labor market for employees and employers in order job
 ",Publish Date：Jan-22-2015,Closing Date：Feb-20-2015,"Contact Information HR Department  (855) 023 882 163   #128 - 134, Street 1986 ( Sen Sok Hospital), Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh, Cambodia.  (855) 023 882 163 "
